2026-04-22 17:03:31,300 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:31,313 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:32,299 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:03:32,301 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:32,316 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:32,344 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:32,344 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:03:33,304 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:33,317 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:42,311 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:03:42,357 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:42,357 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:03:52,324 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:03:52,363 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,364 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 17:03:52,709 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 17:03:52,709 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 17:03:52,725 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,726 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,726 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,743 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,743 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,808 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,808 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,809 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,809 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,809 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,809 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,839 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,839 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,841 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,842 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,842 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,842 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,842 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,844 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
